# The reference corpus: how densely working Java writes each word, pooled over the
# repositories a seeded draw took. It is a denominator and nothing else. No row states a
# subject, nothing here is scored, and a word absent from it has a share of zero.
#
# Columns: word, occurrences, share.
#   word         as the identifier splitter produced it, from a name a repository declared.
#   occurrences  how many times the pooled repositories declared it, summed over all of them
#                and independent of the weighting below.
#   share        what a reading is read against. It sums to one over this table.
#
# WHAT WAS READ. Every tree was read by the path this library reads itself with: the Java
# source sets, the documentation and the build modules beside them, parsed, split by
# IdentifierWords, and taken at the stage that keeps the names a repository declared and
# leaves out the sentences it wrote about them. Both sides of a comparison are therefore made
# the same way, which is the only thing that makes a share here comparable to a share there.
#
# HOW IT IS WEIGHTED: MEAN_OF_SHARES — every repository weighs the same whatever its size, which is the population the frame drew from: the sample is uniform over repositories rather than over bytes.
#   One read writes a table per weighting — reference-corpus-pooled-occurrences.tsv, reference-corpus-mean-of-shares.tsv — so they differ in
#   this line and in the share column alone.
#
# Source: reference-corpus-published.tsv, copied below, which states the frame, the predicate and
#   the seed. Every repository was cloned at the commit it pins.
# Licence: these counts are this project's measurement of publicly available source. Every
#   repository pooled states a licence GitHub recognises, named beside it below.
#
# Generated by CorpusPoolCommand.
# Repositories pooled: 30. Words: 14763. Occurrences: 444695.
#
# The published reference corpus: a THIRD sample, of Java repositories that state a licence, are still being
# worked on, and publish an artefact. Drawn to compare against reference-corpus.tsv and
# reference-corpus-starred.tsv, never to replace either.
#
# WHY A THIRD SAMPLE. The first two are drawn and neither denominator resembles what this reading is measured
# on. Uniform over GitHub's Java gives coursework: ten of ten with zero stars and no licence. A fifty-star
# floor gives Android: five of ten, plus two pieces of teaching material. The nine evaluation-set members are
# none of those things — they are licensed libraries and servers that publish artefacts and are still
# maintained. A denominator is meant to say what the code being read is written in, so the third frame states
# those three properties directly instead of hoping a popularity proxy reaches them.
#
# THE FRAME AND THE PREDICATE, both fixed before a single rank was drawn.
#
#   FRAME, queried of GitHub:
#     language:Java fork:false mirror:false size:>=1000 pushed:>=2025-01-01 created:<2026-08-21
#     license:<each of the thirteen GitHub states>
#
#   Each qualifier, and why it is there:
#     language:Java     the population, as GitHub states a primary language
#     fork:false        a fork is another repository's words copied; counting them twice is a sampling defect
#     mirror:false      the same reason
#     size:>=1000       one megabyte. A STATED bound, not a derived one, carried over from the first frame
#     pushed:>=2025-01-01   "modern" read as STILL BEING WORKED ON rather than recently started. A library
#                       begun in 2014 and pushed to this year writes today's Java; one begun in 2024 and
#                       abandoned does not. Creation date measures the wrong thing, so `pushed` is used.
#     license:...       the thirteen licences GITHUB ITSELF publishes at /licenses — agpl-3.0, apache-2.0,
#                       bsd-2-clause, bsd-3-clause, bsl-1.0, cc0-1.0, epl-2.0, gpl-2.0, gpl-3.0, lgpl-2.1,
#                       mit, mpl-2.0, unlicense. THE SET IS CITED, NOT CHOSEN: picking which licences count
#                       would be this project curating, so GitHub's own enumeration is used whole. They OR
#                       together in a query, which is what makes "states a licence GitHub recognises"
#                       expressible at all. A licence says nothing about what words a repository contains,
#                       so requiring one does not breach the rule this corpus exists to enforce. IT IS NOT
#                       NEUTRAL — a licensed repository is a more deliberate one — and that is stated rather
#                       than claimed away.
#     created:<...      a ceiling, so the frame is the same set on a later day
#
#   NOT in the frame: stars, watchers, archived state, and anything about subject matter.
#
#   PREDICATE, applied to every drawn rank without exception. GitHub's repository search cannot ask whether a
#   repository publishes anything, so it is asked of the tree directly, AT THE PINNED COMMIT:
#
#     accept if pom.xml at the repository root states a <groupId>
#          or if build.gradle or build.gradle.kts at the root applies maven-publish
#     reject otherwise, and take the next rank from the same seeded stream
#
#   A Maven groupId is the coordinate an artefact publishes under, and maven-publish is the plugin that
#   publishes one, so between them they are what a repository does to make its code available as a library.
#   The predicate is read over raw.githubusercontent.com rather than the API, which is why it costs no rate
#   limit. EVERY REJECTION IS RECORDED with the rank and the reason, in docs/reference-corpus/draw-published.json.
#
#   Rejection sampling on a predicate stated in advance is uniform over the sub-population that satisfies it.
#   That is the whole reason the predicate had to be written down before the draw ran rather than after: a
#   predicate adjusted once its rejections are visible is a choice about which repositories end up here.
#
# HOW MANY, and why it is thirty rather than ten. The first two samples hold ten each, which is what the plan
#   asked for and is too few. A reference is a pooled density per word, so with ten roughly equal
#   repositories any one of them carries about a tenth of the total mass: a single blockchain repository in
#   the pool would have the reference claim `transaction` is written at a tenth of a blockchain repository's
#   rate, which is enough to demote it for besu. That is the contamination risk the plan names, and ten
#   bounds it badly. At thirty it is a thirtieth.
#
#   THIRTY IS NOT THE DERIVED BOUND EITHER. It is the number that lets the bound be measured. Pool the first
#   n repositories in the seeded order, rank this repository's words against them, and watch how far the
#   leading claims move as n grows; where the ranking stops moving is the answer, and it is a measurement
#   rather than a choice. Ten points cannot show a plateau that arrives at fifteen. If the curve is still
#   climbing at thirty, that is a finding and the draw extends.
#
#   EXTENDING A SEEDED DRAW IS NOT RE-ROLLING IT. Rows eleven onward are the next values from the same
#   stream, so every row already recorded stays exactly as it was. That is what makes growing a sample
#   different in kind from drawing it again until it looks right. The other two manifests can be grown the
#   same way without invalidating a row.
#
# Columns, the seeded draw, the exact-count method and the doctrine argument are as reference-corpus.tsv
# states them; only the frame and the predicate differ. The draw is docs/reference-corpus/draw.py.
#
# Source: THIS PROJECT ran the draw; GitHub states the frame, the licence enumeration and the ranks.
# katalon-plugin	https://github.com/jenkinsci/katalon-plugin.git	e39757293879437dc6ff9097efdac82a9aaf2425	MIT
# ridi-dspace-server	https://github.com/projetos-codic-ibict/ridi-dspace-server.git	f1fc56626bcb35231eea596dc2124a16e789370f	BSD-3-Clause
# i18n-fx	https://github.com/clydegerber/i18n-fx.git	673d34327aa76aaa13fac7b3716ca68feb40eaa3	Apache-2.0
# jexposer	https://github.com/ViacheslavP/jexposer.git	82d334a14841505f29f6246478e6f52f5ae76f1a	Apache-2.0
# grassbbs	https://github.com/M-WhiteXFox/GrassBBS.git	a6bb1bc0280c5c7976d6d9a10199439e7b26f1e8	AGPL-3.0
# jass	https://github.com/jberclaz/jass.git	0ed0576308daaece5452e1d1c10259f5e20968c3	MIT
# openpnp	https://github.com/yyw393/openpnp.git	5bd404cfc70f34103a3ca0fbb6b50c2b465f407c	GPL-3.0
# maven-enforcer-rule-depend-on-all-projects	https://github.com/mikkoi/maven-enforcer-rule-depend-on-all-projects.git	c6f2d20432695d94b6dd74f02c25d93d59944309	Apache-2.0
# codemedics-sample	https://github.com/Omqarrr/codemedics-sample.git	e12a207b230a59d6959cda0e6ba29766cf326c66	GPL-2.0
# client-cursor	https://github.com/andrei-punko/client-cursor.git	6b5d8add990c01d8324e851e2ec755cca781d919	MIT
# benchmarkjava	https://github.com/coyote-engineering/BenchmarkJava.git	1def24fc25772d034b72c704a7ff324a0eaddddb	GPL-2.0
# poestdimens-fabric	https://github.com/Takusima/PoestDimens-Fabric.git	c53c3e67569fb92ba15369c8344eb486c7d23501	CC0-1.0
# sem4pi_2024_2025	https://github.com/BernasDzn/sem4pi_2024_2025.git	a12ea1e17795f3e2d3b447db45322bea9042c2f5	MIT
# koc-scrm	https://github.com/ABAPPLO/koc-scrm.git	eb0e41a1b176eaab840e66fbb3f9e7706f706b5e	Apache-2.0
# rentify-java-project	https://github.com/bikashpubg678-maker/Rentify-java-project.git	18540025273fd605c555896f70c31f58e4b5338f	MIT
# refractor	https://github.com/TheBozzz34/Refractor.git	1841d98c4eb9957736d1e153f119f7f4087098eb	Apache-2.0
# tutorialmod-template-1.21.1	https://github.com/Helloqiyuan/tutorialmod-template-1.21.1.git	b4cff21213ac8991f681cc59c4c9990dd80acc2b	CC0-1.0
# monacofx	https://github.com/miho/MonacoFX.git	a67906900e18ce0f56f041bde131c7ecc1c0cb06	MIT
# mcsmi	https://github.com/TAYOTOoO/mcsmi.git	2f8119bfeba9a589508cc93549efc1294905bb5c	GPL-3.0
# justtrialspawners	https://github.com/breakinblocks/justtrialspawners.git	8abe70784fb0b91ed8675e97ea491e002a9bd3d4	MIT
# void-water	https://github.com/NormallyNormal/void-water.git	0fe1ec14697ea73405e53da53355c8bf011a3f38	MIT
# ping-monitor	https://github.com/bbcdabao/ping-monitor.git	e08303222e5564100eb23ca791afd7c54c870092	Apache-2.0
# rakumo	https://github.com/AradhyaSharma31/rakumo.git	f07879932287c1699eaf9f125bccd3c0627a7b99	Apache-2.0
# partidoya-webapp	https://github.com/PartidoYA/PartidoYA-WebApp.git	5c181c964aeb10daaeb4fa7d7844a0897d25b392	MIT
# ameba-lib	https://github.com/spring-labs/ameba-lib.git	e450325579d71e3008ebc2fcc2b3564b694fedee	Apache-2.0
# convconf-oss	https://github.com/edigonzales/convconf-oss.git	71e544788e143c5c4ab7761e7d9bad9c35653fca	MIT
# jamlin	https://github.com/Wradgio/Jamlin.git	79ca9270b2b7134f3b7cd56ff526444ae402eac3	Apache-2.0
# mic	https://github.com/MultimodalImagingCenter/MiC.git	490684b6059a113f2e3bfcb9f289aa4bf3eae8c9	MIT
# tessera	https://github.com/Lightning323/Tessera.git	82757b3a4ac3000baa0e22bc4e20ed6f37e0f1fb	GPL-3.0
# algs4	https://github.com/sjungq/algs4.git	e3bd3985c276bada56c392bd05826fa7564ab1b3	GPL-3.0
id	6240	2.638e-02
get	10327	2.218e-02
name	8762	1.790e-02
set	6030	1.149e-02
param	11185	8.481e-03
mod	51	7.149e-03
user	4278	6.768e-03
bar	9053	6.411e-03
register	230	6.375e-03
key	2244	6.044e-03
target	2514	6.027e-03
to	2269	6.018e-03
is	2393	5.562e-03
args	1075	5.443e-03
x	1902	5.372e-03
value	4047	5.100e-03
data	1112	4.886e-03
type	3000	4.852e-03
by	2170	4.742e-03
block	1469	4.733e-03
result	2300	4.519e-03
player	402	4.482e-03
file	2913	4.423e-03
message	954	4.368e-03
project	272	4.362e-03
item	2987	4.097e-03
benchmark	5747	4.039e-03
path	1101	4.009e-03
test	2112	3.980e-03
token	3129	3.902e-03
config	943	3.847e-03
string	1392	3.777e-03
text	951	3.775e-03
size	1090	3.693e-03
create	1403	3.585e-03
y	1544	3.541e-03
source	950	3.405e-03
url	1224	3.341e-03
request	1006	3.333e-03
a	1061	3.287e-03
do	3701	3.273e-03
count	1334	3.259e-03
group	1695	3.234e-03
version	650	3.143e-03
class	1427	3.068e-03
time	919	2.997e-03
items	439	2.917e-03
mixin	21	2.875e-03
values	2987	2.874e-03
add	1193	2.851e-03
z	1026	2.838e-03
code	728	2.814e-03
object	995	2.812e-03
find	2062	2.766e-03
input	3504	2.766e-03
start	988	2.751e-03
v	801	2.698e-03
server	235	2.657e-03
context	333	2.623e-03
number	1594	2.589e-03
all	1101	2.556e-03
service	1726	2.535e-03
on	652	2.531e-03
something	3605	2.531e-03
max	1244	2.506e-03
label	511	2.487e-03
page	692	2.478e-03
current	562	2.450e-03
entity	821	2.440e-03
update	798	2.431e-03
sort	467	2.371e-03
build	269	2.368e-03
delete	1049	2.357e-03
query	1643	2.326e-03
list	1778	2.314e-03
tutorial	4	2.299e-03
content	952	2.265e-03
article	105	2.233e-03
e	1426	2.220e-03
min	724	2.157e-03
from	762	2.122e-03
pocket	71	2.113e-03
show	495	2.056e-03
with	1506	2.043e-03
init	296	2.039e-03
locale	321	2.037e-03
i	627	2.016e-03
position	313	2.012e-03
for	732	1.987e-03
info	511	1.966e-03
truth	119	1.965e-03
new	1106	1.942e-03
dto	181	1.932e-03
p	273	1.910e-03
json	498	1.898e-03
command	338	1.874e-03
index	1006	1.872e-03
client	410	1.856e-03
projects	37	1.855e-03
cmd	415	1.850e-03
response	577	1.850e-03
task	525	1.824e-03
date	1137	1.817e-03
at	285	1.814e-03
status	842	1.801e-03
field	1483	1.791e-03
uuid	495	1.790e-03
handle	690	1.772e-03
robot	154	1.762e-03
event	594	1.759e-03
b	579	1.748e-03
in	872	1.717e-03
model	752	1.711e-03
email	622	1.670e-03
str	1406	1.662e-03
order	541	1.659e-03
pos	288	1.649e-03
lm	54	1.645e-03
password	483	1.641e-03
language	235	1.639e-03
obj	719	1.616e-03
level	307	1.596e-03
customer	262	1.595e-03
found	1499	1.587e-03
not	711	1.565e-03
blocks	45	1.557e-03
card	161	1.556e-03
search	856	1.539e-03
image	674	1.534e-03
username	254	1.533e-03
n	341	1.523e-03
check	530	1.509e-03
old	815	1.507e-03
exception	399	1.477e-03
instance	308	1.476e-03
example	35	1.474e-03
num	1499	1.459e-03
j	361	1.450e-03
c	294	1.438e-03
trail	37	1.436e-03
action	1229	1.435e-03
me	1985	1.435e-03
remember	1975	1.404e-03
r	406	1.398e-03
controller	383	1.389e-03
the	1014	1.386e-03
host	138	1.383e-03
location	1245	1.379e-03
top	309	1.376e-03
first	424	1.370e-03
cursor	103	1.369e-03
cookie	1965	1.367e-03
ids	467	1.351e-03
test_case	995	1.340e-03
column	312	1.331e-03
msg	401	1.329e-03
property	472	1.322e-03
groups	199	1.318e-03
end	555	1.316e-03
s	323	1.311e-03
has	458	1.310e-03
tag	254	1.309e-03
color	338	1.299e-03
length	475	1.299e-03
car	64	1.290e-03
next	340	1.289e-03
editor	33	1.288e-03
link	538	1.276e-03
method	283	1.264e-03
title	575	1.245e-03
registry	25	1.223e-03
height	597	1.219e-03
metadata	2013	1.216e-03
dimensions	25	1.214e-03
dummy	39	1.209e-03
pa	367	1.203e-03
owner	176	1.196e-03
rams	370	1.195e-03
select	488	1.194e-03
poestdimens	4	1.190e-03
takusima	4	1.190e-03
default	840	1.173e-03
plan	67	1.172e-03
root	286	1.163e-03
jdbc	32	1.163e-03
and	740	1.147e-03
grpc	112	1.142e-03
table	329	1.138e-03
base	435	1.136e-03
width	565	1.135e-03
bucket	128	1.128e-03
log	1049	1.128e-03
valid	285	1.125e-03
convert	228	1.121e-03
of	822	1.109e-03
dependency	12	1.108e-03
font	142	1.108e-03
display	213	1.105e-03
last	593	1.098e-03
map	506	1.093e-03
execute	78	1.090e-03
yque	373	1.087e-03
files	198	1.084e-03
error	450	1.083e-03
match	546	1.079e-03
selector	74	1.077e-03
filter	708	1.075e-03
out	303	1.074e-03
sql	1099	1.060e-03
game	149	1.052e-03
resource	698	1.046e-03
court	126	1.039e-03
names	1050	1.039e-03
line	297	1.038e-03
total	505	1.037e-03
no	663	1.025e-03
criteria	41	1.025e-03
validate	239	1.024e-03
menu	313	1.021e-03
role	376	1.016e-03
provider	193	1.015e-03
cookies	1464	1.012e-03
dir	433	1.010e-03
description	581	1.010e-03
loc	1225	1.007e-03
manager	113	1.003e-03
initialize	128	9.980e-04
row	413	9.779e-04
impl	513	9.779e-04
api	238	9.710e-04
configuration	582	9.658e-04
environment	16	9.647e-04
when	127	9.574e-04
auth	904	9.566e-04
full	1162	9.513e-04
lang	150	9.482e-04
translation	51	9.445e-04
created	186	9.414e-04
repository	361	9.398e-04
selection	101	9.353e-04
job	304	9.269e-04
dependencies	11	9.238e-04
template	609	9.166e-04
plug	72	9.101e-04
js	18	9.077e-04
w	314	9.065e-04
score	291	9.008e-04
km	28	8.992e-04
guest	4	8.931e-04
prunus	3	8.929e-04
window	204	8.895e-04
topic	240	8.759e-04
admin	1752	8.726e-04
rows	144	8.678e-04
ctx	355	8.573e-04
hand	90	8.557e-04
light	217	8.533e-04
resourceful	75	8.432e-04
generator	308	8.359e-04
bundle	458	8.349e-04
change	337	8.288e-04
t	328	8.215e-04
k	185	8.113e-04
chunk	317	8.096e-04
equals	80	8.066e-04
gen	193	8.065e-04
read	504	8.063e-04
ok	110	7.986e-04
body	518	7.986e-04
part	668	7.928e-04
send	216	7.927e-04
view	288	7.914e-04
collection	1150	7.896e-04
port	129	7.850e-04
category	333	7.812e-04
extract	78	7.798e-04
tenant	58	7.755e-04
mask	171	7.738e-04
attr	199	7.688e-04
team	50	7.676e-04
save	190	7.665e-04
reason	111	7.661e-04
insert	154	7.660e-04
success	206	7.644e-04
render	57	7.616e-04
that	131	7.589e-04
access	410	7.570e-04
properties	223	7.515e-04
maven	9	7.389e-04
figure	150	7.386e-04
spawner	48	7.329e-04
attribute	234	7.320e-04
klass	12	7.305e-04
parser	32	7.186e-04
props	356	7.142e-04
articles	25	7.136e-04
app	249	7.123e-04
proposal	143	7.041e-04
child	348	7.000e-04
scroll	78	6.970e-04
area	146	6.958e-04
load	185	6.953e-04
bytes	393	6.932e-04
run	142	6.876e-04
ensure	141	6.850e-04
cards	71	6.820e-04
players	63	6.775e-04
results	655	6.769e-04
world	208	6.765e-04
thread	63	6.752e-04
null	209	6.749e-04
ip	372	6.693e-04
profile	563	6.672e-04
flag	607	6.663e-04
theme	29	6.659e-04
dim	66	6.624e-04
rois	40	6.604e-04
holder	152	6.604e-04
state	282	6.584e-04
enabled	457	6.565e-04
rentals	31	6.528e-04
style	88	6.520e-04
entries	80	6.486e-04
mc	351	6.446e-04
left	564	6.445e-04
persistence	82	6.422e-04
yellow	41	6.406e-04
parse	158	6.354e-04
array	176	6.316e-04
cost	33	6.296e-04
offset	779	6.261e-04
parts	201	6.245e-04
credentials	48	6.245e-04
be	156	6.216e-04
tool	201	6.185e-04
spawn	55	6.173e-04
pattern	375	6.158e-04
join	47	6.153e-04
schema	417	6.122e-04
ominous	40	6.108e-04
types	306	6.106e-04
prev	57	6.078e-04
metrics	50	6.072e-04
d	503	6.068e-04
dispatcher	25	6.045e-04
headers	564	6.002e-04
contains	100	5.981e-04
upload	213	5.967e-04
format	379	5.935e-04
impact	2	5.900e-04
tip	231	5.887e-04
phone	51	5.877e-04
open	286	5.870e-04
common	102	5.868e-04
instances	16	5.863e-04
other	270	5.856e-04
cause	134	5.835e-04
range	162	5.822e-04
system	159	5.794e-04
queue	259	5.784e-04
roi	48	5.769e-04
shin	1	5.747e-04
includes	7	5.742e-04
proj	19	5.717e-04
jsonrpc	9	5.714e-04
packed	32	5.710e-04
ex	78	5.695e-04
relative	77	5.679e-04
matches	120	5.677e-04
src	63	5.670e-04
right	465	5.661e-04
excludes	16	5.641e-04
commands	36	5.612e-04
async	31	5.547e-04
buffer	145	5.538e-04
specific	64	5.525e-04
stage	99	5.517e-04
rental	26	5.475e-04
background	121	5.467e-04
tgt	17	5.459e-04
threshold	151	5.438e-04
options	260	5.410e-04
application	77	5.402e-04
call	61	5.363e-04
selected	246	5.340e-04
replace	363	5.324e-04
plugin	153	5.303e-04
identity	50	5.271e-04
header	172	5.249e-04
payment	118	5.237e-04
copy	211	5.216e-04
active	153	5.215e-04
record	313	5.210e-04
